Precompute geometric measures at collocation points.
Done.
Start training.
Inner energy: 8.16e-03, Energy share (memb./bend./shear): 5.98e-03/5.76e-04/1.61e-03, Work: 1.65e-02
Epoch: 1, rel. L2 error: 3.68e-01
Inner energy: 8.16e-03, Energy share (memb./bend./shear): 5.98e-03/5.76e-04/1.61e-03, Work: 1.65e-02
Inner energy: 8.29e-03, Energy share (memb./bend./shear): 6.09e-03/5.84e-04/1.61e-03, Work: 1.66e-02
Inner energy: 8.21e-03, Energy share (memb./bend./shear): 6.06e-03/6.10e-04/1.54e-03, Work: 1.66e-02
Inner energy: 8.46e-03, Energy share (memb./bend./shear): 6.31e-03/6.11e-04/1.54e-03, Work: 1.68e-02
Inner energy: 8.43e-03, Energy share (memb./bend./shear): 6.30e-03/6.18e-04/1.52e-03, Work: 1.68e-02
Inner energy: 8.33e-03, Energy share (memb./bend./shear): 6.24e-03/6.42e-04/1.45e-03, Work: 1.67e-02
Inner energy: 8.37e-03, Energy share (memb./bend./shear): 6.31e-03/6.55e-04/1.41e-03, Work: 1.68e-02
Inner energy: 8.49e-03, Energy share (memb./bend./shear): 6.45e-03/6.86e-04/1.35e-03, Work: 1.69e-02
Inner energy: 8.63e-03, Energy share (memb./bend./shear): 6.59e-03/7.04e-04/1.34e-03, Work: 1.71e-02
Inner energy: 8.66e-03, Energy share (memb./bend./shear): 6.65e-03/7.18e-04/1.29e-03, Work: 1.72e-02
Inner energy: 8.94e-03, Energy share (memb./bend./shear): 6.87e-03/7.33e-04/1.34e-03, Work: 1.75e-02
Inner energy: 8.76e-03, Energy share (memb./bend./shear): 6.77e-03/7.65e-04/1.22e-03, Work: 1.73e-02
Inner energy: 8.77e-03, Energy share (memb./bend./shear): 6.78e-03/7.49e-04/1.24e-03, Work: 1.73e-02
Inner energy: 8.60e-03, Energy share (memb./bend./shear): 6.65e-03/7.31e-04/1.22e-03, Work: 1.72e-02
